Dato,Resultat,Modstander,Spillested,Kamptype,Køn,Hold,Tilskuere,date
01-12-1999,0 - 4,Argentina,NA,Testkamp,Herrer,U21-landshold,150,1999-12-01
01-12-2016,0 - 2,Norge,Arena Skövde,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2016-12-01
01-12-2016,2 - 4,Tyskland,Ikast Stadion,Testkamp,Kvinder,U17-landshold,0,2016-12-01
01-12-2018,2 - 1,Belgien,Belgian Football center,International turnering,Herrer,U16-landshold,340,2018-12-01
01-12-2019,1 - 5,Finland,NA,Nordic Futsal Cup,Herrer,Futsallandsholdet,0,2019-12-01
01-12-2020,0 - 0,Italien,Viborg Stadion,EM-kvalifikationskamp,Kvinder,A-Landshold,216,2020-12-01
01-12-2023,0 - 3,Tyskland,NA,UEFA Nations League,Kvinder,A-Landshold,19120,2023-12-01
01-12-2023,1 - 2,Schweiz,Pinatar Arena,Testkamp,Kvinder,U19-landshold,54,2023-12-01
02-01-1976,4 - 0,Rumænien,NA,International turnering,Herrer,U19-landshold,0,1976-01-02
02-01-1977,2 - 1,Rumænien,NA,International turnering,Herrer,U19-landshold,0,1977-01-02
02-01-1987,1 - 0,Belgien,NA,International turnering,Herrer,U19-landshold,500,1987-01-02
02-02-1977,3 - 2,Senegal,NA,Testkamp,Herrer,A-Landshold,3000,1977-02-02
02-02-1986,0 - 2,Irak,NA,Uofficiel landskamp,Herrer,Ligalandshold,0,1986-02-02
02-02-2000,2 - 4,Norge,La Manga,Uofficiel landskamp,Herrer,Ligalandshold,750,2000-02-02
02-02-2008,0 - 2,Sydafrikas U/23-landshold,Caledonian Stadium,Uofficiel landskamp,Herrer,U21-landshold,1700,2008-02-02
02-02-2008,0 - 3,England,Estádio do Algarve,International turnering,Herrer,U17-landshold,200,2008-02-02
02-02-2017,2 - 1,Kosovo,Tasos Papadopoulos Elefheria Hall,EM-kvalifikationskamp,Herrer,Futsallandsholdet,0,2017-02-02
02-02-2019,2 - 6,Georgien,Olympic Palace,VM-kvalifikationskamp,Herrer,Futsallandsholdet,0,2019-02-02
02-02-2024,3 - 1,Malta,SC Franko Mileta,Testkamp,Herrer,Futsallandsholdet,0,2024-02-02
02-03-1991,3 - 0,Finland,Troia Sports center,Open Nordic Cup,Kvinder,A-Landshold,0,1991-03-02
02-03-2010,3 - 1,Belgien,KAS Eupen,Testkamp,Herrer,U19-landshold,515,2010-03-02
02-03-2011,1 - 0,Kina,Estadio Algarve,Algarve Cup,Kvinder,A-Landshold,105,2011-03-02
02-03-2012,0 - 2,Japan,Estadio Municipal da Bela Vista,Algarve Cup,Kvinder,A-Landshold,250,2012-03-02
02-03-2016,1 - 0,Canada,Estadio Municipal,Algarve Cup,Kvinder,A-Landshold,0,2016-03-02
02-03-2016,1 - 1,Belgien,NA,Testkamp,Herrer,U19-landshold,546,2016-03-02
02-03-2017,2 - 1,Nordirland,Mill Meadow,Testkamp,Herrer,U17-landshold,276,2017-03-02
02-03-2018,0 - 4,Holland,La Manga,Testkamp,Kvinder,U19-landshold,0,2018-03-02
02-03-2018,2 - 3,Holland,V. Real de Sto. Antonio,Algarve Cup,Kvinder,A-Landshold,0,2018-03-02
02-04-1983,0 - 0,Czekoslovakiet,NA,International turnering,Herrer,U19-landshold,0,1983-04-02
02-04-1983,0 - 0,Frankrig,NA,International turnering,Herrer,U19-landshold,0,1983-04-02
02-04-1985,1 - 0,Skotland,NA,International turnering,Herrer,U19-landshold,0,1985-04-02
02-04-1988,2 - 1,DDR,NA,International turnering,Herrer,U17-landshold,0,1988-04-02
02-04-2003,0 - 2,Bosnien-Hercegovina,Parken,EM-kvalifikationskamp,Herrer,A-Landshold,30845,2003-04-02
02-04-2003,3 - 1,Sverige,NA,EM-kvalifikationskamp,Herrer,U19-landshold,100,2003-04-02
02-04-2005,1 - 2,Schweiz,NA,EM-kvalifikationskamp,Herrer,U17-landshold,250,2005-04-02
02-04-2006,0 - 2,Tjekkiet,World Wonder Football Centre,EM-kvalifikationskamp,Herrer,U17-landshold,75,2006-04-02
02-04-2011,0 - 3,Holland,Odense Stadion,EM-kvalifikationskamp,Kvinder,U19-landshold,714,2011-04-02
02-04-2012,2 - 4,Serbien,Sucava Stadium,EM-kvalifikationskamp,Kvinder,U19-landshold,350,2012-04-02
02-04-2016,2 - 3,Tjekkiet,Stadion Letna,EM-kvalifikationskamp,Herrer,U17-landshold,789,2016-04-02
02-04-2018,2 - 0,Wales,Municipal Stadium Carlos Duarte,EM-kvalifikationskamp,Kvinder,U19-landshold,0,2018-04-02
